
--- [START 2018-02-26_02-24-30] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/science2018/build/dummy-15.3
	out_dir      = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15

** net setting **
<class 'net.resnet50_fpn_mask_single_shot_0.model.MaskSingleShotNet'>


** dataset setting **
	WIDTH, HEIGHT = 192, 192
	train_dataset.split = debug1_ids_gray_only_10
	valid_dataset.split = debug1_ids_gray_only_10
	len(train_dataset)  = 10
	len(valid_dataset)  = 10
	len(train_loader)   = 2
	len(valid_loader)   = 3
	batch_size  = 4
	iter_accum  = 1
	batch_size*iter_accum  = 4

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 10

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   3.1 k 1240.0  0.0 m | 0.289   0.02 0.01   0.13 | 0.310   0.01 0.02   0.14 | 0.309   0.02 0.01   0.14 |  2 hr 29 min
0.0100   3.2 k 1280.0  0.0 m | 0.310   0.02 0.01   0.14 | 0.352   0.02 0.02   0.16 | 0.241   0.01 0.01   0.11 |  2 hr 34 min
0.0100   3.3 k 1320.0  0.0 m | 0.285   0.02 0.01   0.13 | 0.346   0.02 0.02   0.15 | 0.351   0.02 0.02   0.16 |  2 hr 39 min
0.0100   3.4 k 1360.0  0.0 m | 0.293   0.02 0.01   0.13 | 0.376   0.02 0.02   0.17 | 0.345   0.01 0.01   0.16 |  2 hr 43 min
0.0100   3.5 k 1400.0  0.0 m | 0.291   0.01 0.01   0.13 | 0.333   0.01 0.02   0.15 | 0.358   0.01 0.02   0.16 |  2 hr 48 min
0.0100   3.6 k 1440.0  0.0 m | 0.295   0.02 0.01   0.13 | 0.461   0.02 0.02   0.21 | 0.370   0.02 0.01   0.17 |  2 hr 53 min
0.0100   3.7 k 1480.0  0.0 m | 0.300   0.02 0.01   0.14 | 0.378   0.01 0.02   0.17 | 0.435   0.01 0.02   0.20 |  2 hr 58 min
0.0100   3.8 k 1520.0  0.0 m | 0.282   0.01 0.01   0.13 | 0.378   0.01 0.02   0.17 | 0.316   0.01 0.01   0.15 |  3 hr 03 min
0.0100   3.9 k 1560.0  0.0 m | 0.273   0.01 0.01   0.12 | 0.363   0.02 0.02   0.16 | 0.399   0.01 0.02   0.18 |  3 hr 08 min
0.0100   4.0 k 1600.0  0.0 m | 0.289   0.01 0.01   0.13 | 0.285   0.01 0.01   0.13 | 0.360   0.01 0.03   0.16 |  3 hr 13 min
0.0100   4.1 k 1640.0  0.0 m | 0.285   0.01 0.01   0.13 | 0.329   0.01 0.02   0.15 | 0.342   0.01 0.02   0.15 |  3 hr 18 min
0.0100   4.2 k 1680.0  0.0 m | 0.278   0.01 0.01   0.13 | 0.231   0.01 0.01   0.10 | 0.274   0.01 0.01   0.12 |  3 hr 22 min
0.0100   4.3 k 1720.0  0.0 m | 0.286   0.01 0.01   0.13 | 0.288   0.01 0.01   0.13 | 0.373   0.02 0.02   0.17 |  3 hr 27 min
0.0100   4.4 k 1760.0  0.0 m | 0.263   0.01 0.01   0.12 | 0.336   0.01 0.01   0.15 | 0.333   0.02 0.02   0.15 |  3 hr 32 min
0.0100   4.5 k 1800.0  0.0 m | 0.273   0.01 0.01   0.12 | 0.259   0.02 0.01   0.12 | 0.387   0.02 0.02   0.18 |  3 hr 37 min
0.0100   4.6 k 1840.0  0.0 m | 0.276   0.01 0.01   0.12 | 0.324   0.02 0.01   0.15 | 0.335   0.01 0.01   0.16 |  3 hr 42 min
0.0100   4.7 k 1880.0  0.0 m | 0.287   0.01 0.01   0.13 | 0.286   0.02 0.01   0.13 | 0.265   0.01 0.01   0.12 |  3 hr 47 min
0.0100   4.8 k 1920.0  0.0 m | 0.276   0.01 0.01   0.13 | 0.294   0.01 0.01   0.13 | 0.323   0.02 0.01   0.15 |  3 hr 52 min
